Comment,Likes,Category
On of the underrated Songs❤❤❤‍🔥,0,Neutral
Recently addicted to this song❤,2,Neutral
lyrics ❤ out of the world,2,Neutral
Honey trap is mens weekness😢,0,Neutral
❤,0,Neutral
Super  song🌹🌹🌹🌹🌹😊😊😊😊😊,1,Positive
Repeat Mode❤❤❤❤,1,Neutral
This song is best in Tamil❤,1,Positive
Semma voice 💞💞💞💞💞,1,Positive
இந்த இசை வேற எங்கையோ கேட்டது போல இருக்கிறது,1,Neutral
Theater experience❤💗,1,Neutral
"My Birthday 15:10 I cant go to Kovil,we decided too watch Movie...it's my Memory movie Good!",1,Positive
0:58,0,Neutral
My relexing song,1,Neutral
0:39 0:58,0,Neutral
1:26 magic begins from here :) . I am from Pakistan. Cannot understand Tamil but this song hits somethings different. Music has no language.,2,Neutral
My favorite lovely song...lyrics vera level,3,Positive
Pea coat 💩💩 song,0,Neutral
Excellent writing by Madhan Karki..,1,Positive
ரூஹே ரூஹே -  உயிரே உயிரே,0,Neutral
Dont blindly trust anyone.,1,Neutral
This song does something to me,2,Neutral
Honey dripping ❤,3,Neutral
Super 🎉,0,Positive
💗😩,0,Neutral
1.26 min is was amazing bgm,1,Positive
❤,3,Neutral
Nice❤❤❤❤❤,1,Positive
"ஆண் : வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

ஆண் : வேல் என்றருத்திடும் விழிகள்
இரண்டில் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கிடும் துணியால்
என்னை நீ கைதாக்கினாய்
உலகே பொய்யடி
கனவே மெய்யடி
அதில் வாழ்வோமா பூங்கோதயே!…ஹோ

பெண் மற்றும் குழு : தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

ஆண் : வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

ஆண் : துரும்பென இளைத்திவள் உருமாற
விருந்தாக எனை பறிமாற
பெண் : கருங்கணி சுவையினில் உயிர் ஊற
துரந்தேனே நாணம் வெறியேற

ஆண் : நீ இன்னும் இன்னும் இன்னும் இன்னும் வேண்டுமே
என எனதிதழ் உனதுஉடல் தீண்டுமே
பெண் : ஏ உனை இடையனி என பூண்டுவேண்
நீ இறங்கிட இருதயம் தூண்டுமே

ஆண் : உறங்காதேரேனோ
உயிராய் மாறேனோ
வலிதாங்காயோ பூங்கோதயே!…ஹோ

பெண் மற்றும் குழு : தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட",1,Neutral
1:35,1,Neutral
Harishankar voice❤,2,Neutral
Vanakam 23 may  2026 .12 am ku,0,Neutral
Anyone may 21 2026,0,Neutral
Anyone after inba reel ?,0,Question
3.13🎉,0,Neutral
❤thamizh virunthu❤,1,Neutral
Indha song oda theatre experience just like wow 🎉🔥🔥,3,Neutral
Athukuthana naneyyy night dutyy vangiii pathukutuerukean enjoyyy😂😂😂😂😂😂😂😂😂,2,Neutral
Velentraruthidum💫 vizhigal👀 irandil nee thakkinai🤌😩❤,2,Neutral
1:26 Such as a magic' voice and miracle imagination,0,Neutral
I like this song ❤🩵🤍,0,Neutral
Enn kaathaiyeeeeeee 🤌💓,1,Neutral
யாரெல்லாம் இந்த பாடலின் வரிகளை கேட்டவுடனே... இந்த பாடலை எழுதியது *மதன் கார்க்கி* என்று யூகித்தீர்கள்.... ✨😇🥰🙌🙋,11,Neutral
This is so delightful for eyes . Beautiful ❤,0,Positive
1:26 i fall in other dimension ❤,1,Neutral
Voice ❤,1,Neutral
Any one after vijay CM🎉🎉,5,Neutral
Very emotionally I am feeling for the song and also interesting ❤,1,Neutral
Rukku  is beautiful ❤ my crush allso same look ❤️❤️‍🔥,1,Positive
Super song 🤍,2,Positive
The male voice is competing n winning Chinmayi's voice🥹,18,Neutral
0:13 plot for hearing songs,0,Neutral
My fevarat song❤❤,0,Neutral
❤❤❤,1,Neutral
எனக்கு ரொம்ப ரொம்ப பிடிக்கும் 🔥🔥🔥❤️❤️❤️❤️❤️,1,Neutral
Nice song 😻,1,Positive
காதலும் கற்பனையும் கொண்ட காதல்  இதுவே ❤‍🩹🫂,5,Neutral
Evlo alagana tamil varigal..tamil padangalil kuda ipdi illai,1,Neutral
உயிராய் வாரேனோ வலி தாங்காயோ பூங்கோதையே Wow❤❤❤,2,Neutral
Entha song la bjm heart ❤️ apadiya melt pannuthu,3,Neutral
Rukmani has some big gya. 😅❤ 2:49,0,Neutral
My favourite song ❤❤,1,Neutral
2026.. ❤ Goosebumps da ❤🎉😊,0,Neutral
Bgm ringtone super ❤️❤️😍🥰,2,Positive
i am love this song,1,Neutral
💗,0,Neutral
I love every language but kannada version of this song just beauty ❤,0,Neutral
❤❤❤,0,Neutral
This pair should have played Sita-Ram in a live action movie.,1,Suggestion
"This is not a song, it’s an emotion for every Darling and Thaman Fans 😜😜❤❤🎉🎉🎉🎉",1,Neutral
The real song starts at 01:25,1,Neutral
"Rukku's grace & beauty, Lyrics, music, camera - everything is ❤ perfect",0,Positive
❤,0,Neutral
Naan parthen othumaan Unnodaiya effect en iruku,0,Neutral
Neil kari apdna neilakari oru gramam Iruku athuku oru driver vera evlo vaai adika pathiram velaka poitu apdla poga mattanga flight la ponnain etti parthoma poitu vanthu tale,0,Neutral
Superb song❤,1,Positive
Yar ellam 2026 ah intha song ah ketu irukinga❤,2,Neutral
0:53  bombastic laugh🤣,2,Neutral
1:27 was melting ❤🥺😌😫,0,Neutral
