Comment,Likes
On of the underrated Songs❤❤❤‍🔥,0
Recently addicted to this song❤,2
lyrics ❤ out of the world,2
Honey trap is mens weekness😢,0
❤,0
Super  song🌹🌹🌹🌹🌹😊😊😊😊😊,1
Repeat Mode❤❤❤❤,1
This song is best in Tamil❤,1
Semma voice 💞💞💞💞💞,1
இந்த இசை வேற எங்கையோ கேட்டது போல இருக்கிறது,1
Theater experience❤💗,1
"My Birthday 15:10 I cant go to Kovil,we decided too watch Movie...it's my Memory movie Good!",1
0:58,0
My relexing song,1
0:39 0:58,0
1:26 magic begins from here :) . I am from Pakistan. Cannot understand Tamil but this song hits somethings different. Music has no language.,2
My favorite lovely song...lyrics vera level,3
Pea coat 💩💩 song,0
Excellent writing by Madhan Karki..,1
ரூஹே ரூஹே -  உயிரே உயிரே,0
Dont blindly trust anyone.,1
This song does something to me,2
Honey dripping ❤,3
Super 🎉,0
💗😩,0
1.26 min is was amazing bgm,1
❤,3
Nice❤❤❤❤❤,1
"ஆண் : வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

ஆண் : வேல் என்றருத்திடும் விழிகள்
இரண்டில் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கிடும் துணியால்
என்னை நீ கைதாக்கினாய்
உலகே பொய்யடி
கனவே மெய்யடி
அதில் வாழ்வோமா பூங்கோதயே!…ஹோ

பெண் மற்றும் குழு : தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

ஆண் : வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

ஆண் : துரும்பென இளைத்திவள் உருமாற
விருந்தாக எனை பறிமாற
பெண் : கருங்கணி சுவையினில் உயிர் ஊற
துரந்தேனே நாணம் வெறியேற

ஆண் : நீ இன்னும் இன்னும் இன்னும் இன்னும் வேண்டுமே
என எனதிதழ் உனதுஉடல் தீண்டுமே
பெண் : ஏ உனை இடையனி என பூண்டுவேண்
நீ இறங்கிட இருதயம் தூண்டுமே

ஆண் : உறங்காதேரேனோ
உயிராய் மாறேனோ
வலிதாங்காயோ பூங்கோதயே!…ஹோ

பெண் மற்றும் குழு : தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட",1
1:35,1
Harishankar voice❤,2
Vanakam 23 may  2026 .12 am ku,0
Anyone may 21 2026,0
Anyone after inba reel ?,0
3.13🎉,0
❤thamizh virunthu❤,1
Indha song oda theatre experience just like wow 🎉🔥🔥,3
Athukuthana naneyyy night dutyy vangiii pathukutuerukean enjoyyy😂😂😂😂😂😂😂😂😂,2
Velentraruthidum💫 vizhigal👀 irandil nee thakkinai🤌😩❤,2
1:26 Such as a magic' voice and miracle imagination,0
I like this song ❤🩵🤍,0
Enn kaathaiyeeeeeee 🤌💓,1
யாரெல்லாம் இந்த பாடலின் வரிகளை கேட்டவுடனே... இந்த பாடலை எழுதியது *மதன் கார்க்கி* என்று யூகித்தீர்கள்.... ✨😇🥰🙌🙋,11
This is so delightful for eyes . Beautiful ❤,0
1:26 i fall in other dimension ❤,1
Voice ❤,1
Any one after vijay CM🎉🎉,5
Very emotionally I am feeling for the song and also interesting ❤,1
Rukku  is beautiful ❤ my crush allso same look ❤️❤️‍🔥,1
Super song 🤍,2
The male voice is competing n winning Chinmayi's voice🥹,18
0:13 plot for hearing songs,0
My fevarat song❤❤,0
❤❤❤,1
எனக்கு ரொம்ப ரொம்ப பிடிக்கும் 🔥🔥🔥❤️❤️❤️❤️❤️,1
Nice song 😻,1
காதலும் கற்பனையும் கொண்ட காதல்  இதுவே ❤‍🩹🫂,5
Evlo alagana tamil varigal..tamil padangalil kuda ipdi illai,1
உயிராய் வாரேனோ வலி தாங்காயோ பூங்கோதையே Wow❤❤❤,2
Entha song la bjm heart ❤️ apadiya melt pannuthu,3
Rukmani has some big gya. 😅❤ 2:49,0
My favourite song ❤❤,1
2026.. ❤ Goosebumps da ❤🎉😊,0
Bgm ringtone super ❤️❤️😍🥰,2
i am love this song,1
💗,0
I love every language but kannada version of this song just beauty ❤,0
❤❤❤,0
This pair should have played Sita-Ram in a live action movie.,1
"This is not a song, it’s an emotion for every Darling and Thaman Fans 😜😜❤❤🎉🎉🎉🎉",1
The real song starts at 01:25,1
"Rukku's grace & beauty, Lyrics, music, camera - everything is ❤ perfect",0
❤,0
Naan parthen othumaan Unnodaiya effect en iruku,0
Neil kari apdna neilakari oru gramam Iruku athuku oru driver vera evlo vaai adika pathiram velaka poitu apdla poga mattanga flight la ponnain etti parthoma poitu vanthu tale,0
Superb song❤,1
Yar ellam 2026 ah intha song ah ketu irukinga❤,2
0:53  bombastic laugh🤣,2
1:27 was melting ❤🥺😌😫,0
Rukmini heroine nice semma super. very nice feeling songs looke vera level,0
1:31  & 2:40 she nailed ❤,1
Amazing..... Don't know how many times I'm listening to this song.... Madan Karki has once again proved......❤,0
❤,0
Malayalam version is the best 🔥,1
Enna alagu😍😍😍😍😍,0
Rukmini kolriye 😍😍😍😍,0
March 21 anyone,1
வெளிச்சமா இருக்குனு வின்மினி  பின்னாடி  போயிறதின்க தொழங்சு போயிருவின்க..... இந்த கவிதை    ஃபர்ஸ்ட் கேக்கும் போது  செம்ம  ஃபீல்....   Super   feel song ....,1
Chow chow is super ❤❤❤❤❤❤❤❤❤🎉🎉,0
3.18 pure magic 🪄✨,3
🖤🖤🖤🖤🖤,0
Rukku ❤️❤️😍😍,0
Cable connections wrong way,0
Raja cable😅,0
"மலையாளம் "" கன்னடா "" தெலுங்கு  "" ஹிந்தி  எல்லா  பாடலையும்  தூக்கி  சாப்டிருச்சு  டா  .... நம்ம ""தமிழ் "" ❤️🥶🔥",36
Anyone today 😅,3
March 6 ❤,2
😊😊,0
❤❤song super,1
My favourite song the year ❤,0
Super super,0
என்னோட அம்மாக்கு பிடிச்ச பாட்டு❤🫂,2
March 05❤,1
Theatre experience was amazing ❤🎉,2
March 3 ❤,0
Tq katara,0
March 02 ❤,0
Someone special ❤❤,2
Beautiful lyrics 😊,1
1:25  this lyrics was my favourite 🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉,0
This movie was thrilling by experiance❤,0
2:1 ultimet,0
2:55 woww ❤🎉,1
☺️☺️☺️☺️☺️☺️☺️🥰🥰🥰❤️❤️❤️🫀🫀🫀🫀❤️❤️🥰❤️🫀🫀❤️❤️❤️❤️🫀❤️🥰❤️🫀💞💞😭,1
🥰,0
I like it 💜💜💜,1
1:25,0
I love this song,2
❤❤,0
1:20,0
🙌🫂🎤🎥💋💞👏👌💥,0
"வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

வேல் என்றருத்திடும் விழிகள்
இரண்டில் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கிடும் துணியால்
என்னை நீ கைதாக்கினாய்
உலகே பொய்யடி
கனவே மெய்யடி
அதில் வாழ்வோமா பூங்கோதயே!…ஹோ

தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

துரும்பென இளைத்திவள் உருமாற
விருந்தாக எனை பறிமாற
கருங்கணி சுவையினில் உயிர் ஊற
துரந்தேனே நாணம் வ...

Full lyrics at Bharatlyrics.com: வேங்குழலில் இழைந்தாயடி Vaenguzhalil Ezhaindayadi Lyrics - K S Harisankar, Chinmayi Sripada https://bharatlyrics.com/vaenguzhalil-ezhaindayadi-lyrics/",2
❤❤,0
Super song ❤❤🎉🎉🎉,2
Nice bgm,0
1:13 of these song,9
I love this song very much,0
Super song❤,0
2:11,0
2:12  _நீ இன்னும் இன்னும் இன்னும் வேண்டுமே..._,1
❤❤❤❤❤❤❤,0
